"Package Name","Activation Code","Generation Date","Activation Date","Expiry Date",Remark
activation_code_regexp_test,xwkXIsM0,"2019-05-03 15:03:40",,,
activation_code_regexp_test,kifpux9O,"2019-05-03 15:03:40",,,
activation_code_regexp_test,edgcYJp#,"2019-05-03 15:03:40",,,
activation_code_regexp_test,c2pEgBmH,"2019-05-03 15:03:40",,,
activation_code_regexp_test,Sx-LcTDi,"2019-05-03 15:03:40",,,
activation_code_regexp_test,KPyQnvCD,"2019-05-03 15:03:40",,,
activation_code_regexp_test,W$F7lhwn,"2019-05-03 15:03:40",,,
activation_code_regexp_test,ps8Ce6m#,"2019-05-03 15:03:40",,,
activation_code_regexp_test,C3X4omWU,"2019-05-03 15:03:40",,,
activation_code_regexp_test,eOH49qsw,"2019-05-03 15:03:40",,,
activation_code_regexp_test,k2gALV&H,"2019-05-03 15:03:40",,,
activation_code_regexp_test,dCA3N4eY,"2019-05-03 15:03:40",,,
activation_code_regexp_test,xRvynMK&,"2019-05-03 15:03:40",,,
activation_code_regexp_test,CGp7&0$#,"2019-05-03 15:03:40",,,
activation_code_regexp_test,hDo*20Ie,"2019-05-03 15:03:40",,,
activation_code_regexp_test,MfUNcrbS,"2019-05-03 15:03:40",,,
activation_code_regexp_test,WLEF4y9m,"2019-05-03 15:03:40",,,
activation_code_regexp_test,xo$ZLly1,"2019-05-03 15:03:40",,,
activation_code_regexp_test,D3h4L*Xw,"2019-05-03 15:03:40",,,
activation_code_regexp_test,LeUb8cHG,"2019-05-03 15:03:40",,,
activation_code_regexp_test,s3YEQI&4,"2019-05-03 15:03:40",,,
activation_code_regexp_test,8uwvtyTP,"2019-05-03 15:03:40",,,
activation_code_regexp_test,tLfl$H53,"2019-05-03 15:03:40",,,
activation_code_regexp_test,jdu0CmUV,"2019-05-03 15:03:40",,,
activation_code_regexp_test,ge*jrvxB,"2019-05-03 15:03:40",,,
activation_code_regexp_test,ikwmdox6,"2019-05-03 15:03:40",,,
activation_code_regexp_test,3c2nPaYG,"2019-05-03 15:03:40",,,
activation_code_regexp_test,CUvPsV*$,"2019-05-03 15:03:40",,,
activation_code_regexp_test,bpleMuDY,"2019-05-03 15:03:40",,,
activation_code_regexp_test,thvSB*E-,"2019-05-03 15:03:40",,,
activation_code_regexp_test,Ax&Ck4u5,"2019-05-03 15:03:40",,,
activation_code_regexp_test,GgqXEK2V,"2019-05-03 15:03:40",,,
activation_code_regexp_test,Be#saGtT,"2019-05-03 15:03:40",,,
activation_code_regexp_test,3gcWyPwA,"2019-05-03 15:03:40",,,
activation_code_regexp_test,NKzv0fXe,"2019-05-03 15:03:40",,,
activation_code_regexp_test,crz-woTn,"2019-05-03 15:03:40",,,
activation_code_regexp_test,IYOXBQq&,"2019-05-03 15:03:40",,,
activation_code_regexp_test,ZzXuytfj,"2019-05-03 15:03:40",,,
activation_code_regexp_test,c8zImVxg,"2019-05-03 15:03:40",,,
activation_code_regexp_test,CcvxKUdX,"2019-05-03 15:03:40",,,
activation_code_regexp_test,QEryfVT3,"2019-05-03 15:03:40",,,
activation_code_regexp_test,kX3pt8Z0,"2019-05-03 15:03:40",,,
activation_code_regexp_test,CHL5-W&s,"2019-05-03 15:03:40",,,
activation_code_regexp_test,zqEewnhs,"2019-05-03 15:03:40",,,
activation_code_regexp_test,1gQj29JL,"2019-05-03 15:03:40",,,
activation_code_regexp_test,tJcPhj5S,"2019-05-03 15:03:40",,,
activation_code_regexp_test,iOP3H4DI,"2019-05-03 15:03:40",,,
activation_code_regexp_test,QRqynKcZ,"2019-05-03 15:03:40",,,
activation_code_regexp_test,HWapf5ju,"2019-05-03 15:03:40",,,
activation_code_regexp_test,Jk73x*uP,"2019-05-03 15:03:40",,,
activation_code_regexp_test,s7vA491R,"2019-05-03 15:03:40",,,
activation_code_regexp_test,5*wchrk0,"2019-05-03 15:03:40",,,
activation_code_regexp_test,seq&k4Ei,"2019-05-03 15:03:40",,,
activation_code_regexp_test,3C9r0mdK,"2019-05-03 15:03:40",,,
activation_code_regexp_test,VDj58oLM,"2019-05-03 15:03:40",,,
activation_code_regexp_test,sGp8P13X,"2019-05-03 15:03:40",,,
activation_code_regexp_test,IYF#pXEd,"2019-05-03 15:03:40",,,
activation_code_regexp_test,2IzJCBQu,"2019-05-03 15:03:40",,,
activation_code_regexp_test,yHDoAfxm,"2019-05-03 15:03:40",,,
activation_code_regexp_test,A1$xMgjz,"2019-05-03 15:03:40",,,
activation_code_regexp_test,XDpC2YPr,"2019-05-03 15:03:40",,,
activation_code_regexp_test,kliNT0*P,"2019-05-03 15:03:40",,,
activation_code_regexp_test,lr36iRCz,"2019-05-03 15:03:40",,,
activation_code_regexp_test,b$O7sfgG,"2019-05-03 15:03:40",,,
activation_code_regexp_test,CMcsvQjZ,"2019-05-03 15:03:40",,,
activation_code_regexp_test,t2awzyU8,"2019-05-03 15:03:40",,,
activation_code_regexp_test,MfXYqLjy,"2019-05-03 15:03:40",,,
activation_code_regexp_test,oA$Wv3kR,"2019-05-03 15:03:40",,,
activation_code_regexp_test,stubovcp,"2019-05-03 15:03:40",,,
activation_code_regexp_test,qvFm*DBg,"2019-05-03 15:03:40",,,
activation_code_regexp_test,G4e1*&sj,"2019-05-03 15:03:40",,,
activation_code_regexp_test,ShBd1rY&,"2019-05-03 15:03:40",,,
activation_code_regexp_test,7N0xoJKU,"2019-05-03 15:03:40",,,
activation_code_regexp_test,hnA1R-jH,"2019-05-03 15:03:40",,,
activation_code_regexp_test,g$YLmNAs,"2019-05-03 15:03:40",,,
activation_code_regexp_test,MkDxH8K&,"2019-05-03 15:03:40",,,
activation_code_regexp_test,B4VjpxrC,"2019-05-03 15:03:40",,,
activation_code_regexp_test,tb6OFadw,"2019-05-03 15:03:40",,,
activation_code_regexp_test,Yc2#bfQD,"2019-05-03 15:03:40",,,
activation_code_regexp_test,VEQRA4sT,"2019-05-03 15:03:40",,,
activation_code_regexp_test,qHhF91&v,"2019-05-03 15:03:40",,,
activation_code_regexp_test,UTRk4i7I,"2019-05-03 15:03:40",,,
activation_code_regexp_test,AxJSU2Bq,"2019-05-03 15:03:40",,,
activation_code_regexp_test,G#2tQlrE,"2019-05-03 15:03:40",,,
activation_code_regexp_test,XH$2fCz4,"2019-05-03 15:03:40",,,
activation_code_regexp_test,f0t6z$Z7,"2019-05-03 15:03:40",,,
activation_code_regexp_test,ChneUpb-,"2019-05-03 15:03:40",,,
activation_code_regexp_test,ybTgYJhv,"2019-05-03 15:03:40",,,
activation_code_regexp_test,I*PkY&cd,"2019-05-03 15:03:40",,,
activation_code_regexp_test,XVHPQ$NI,"2019-05-03 15:03:40",,,
activation_code_regexp_test,f7O4lrDd,"2019-05-03 15:03:40",,,
activation_code_regexp_test,VdB7PgxY,"2019-05-03 15:03:40",,,
activation_code_regexp_test,hSaGrclg,"2019-05-03 15:03:40",,,
activation_code_regexp_test,I5zH$VBi,"2019-05-03 15:03:40",,,
activation_code_regexp_test,1t6h9Viz,"2019-05-03 15:03:40",,,
activation_code_regexp_test,ORjuCYLN,"2019-05-03 15:03:40",,,
activation_code_regexp_test,reGm5kXj,"2019-05-03 15:03:40",,,
activation_code_regexp_test,YJ-TlZMo,"2019-05-03 15:03:40",,,
activation_code_regexp_test,qf#vCd6I,"2019-05-03 15:03:40",,,
activation_code_regexp_test,xQ9WlOPv,"2019-05-03 15:03:40",,,
activation_code_regexp_test,XSpvCL9Y,"2019-06-21 15:42:04",,"2019-07-02 00:00:00",renew_activation_code
activation_code_regexp_test,dVDtU$0O,"2019-06-21 15:42:04",,"2019-06-21 00:00:00",renew_activation_code
activation_code_regexp_test,MWLQ&nEN,"2019-06-21 15:42:04",,"2019-06-21 00:00:00",renew_activation_code
activation_code_regexp_test,ZS5XC4Gp,"2019-06-21 15:42:04",,"2019-06-21 00:00:00",renew_activation_code
activation_code_regexp_test,sES480n6,"2019-06-21 15:42:04",,,renew_activation_code
activation_code_regexp_test,iZSMy4Ku,"2019-06-21 15:42:04",,"2019-06-21 00:00:00",renew_activation_code
activation_code_regexp_test,wuz-aD5*,"2019-06-21 15:42:04",,"2019-06-21 00:00:00",renew_activation_code
